Tweet,Fake,Hate,Target,Severity,word_count,avg_word_length
@SPDhoke3 @RahulGandhi Lana shuru kar diya gaya tha..china mein jaise corona virus phaila tha waise hi students ko laya gaya tha... Video b padi hai pakistani student ki... Indian government ko Praise karte hue ..,0,0,0,0,35,5
"@ndtv Corona virus ka warriss lagta zinda hai,jab tak vaccine Bharat Na AA jaye..jis din ye lagna shuru ho jyega..OOS din se khabr ayegi Purana covid ka vaccine itna dumdaar hai ki aaney wale Dus dashkon tak koi covid ka warris insaano ka kuch bigaad nahi",0,0,0,0,46,5
Iski baaton se lag raha hai ki corona virus nahi scam hai jo congress ne china ke saath mil kar kiya hai,1,1,O,M,22,4
"Customer : Ek accha sa Corona Virus Dikhao na Bhaiya?

Vendor : Ye dekhiye corona Made in China.

C : Iska aur koi variant nahi hai bhaiya?

V : Ek minute, chotu wo almari main se UK waala maal nikaal.

#COVID20",1,0,0,0,41,4
"Bohat Bolty Thy:

""Made In China, Ziyada Nahi Chalega""

Isi Liye China Ne Ghusse Me Corona Virus Bana Diya

Jo Khatam Hony Ka Naam He Nahi Le Raha.. :-D
@Its_WajidAli @Hooriya_aww @ZeeshanAS511 @Kiran00771006",1,0,0,0,33,5
"Bas Ek Baar Ye ""Corona Virus"" khatam hojye

Mai China Jaa K Sabko Daal Chawal Banana Sikhaunga Saale kuch Bhi Khaate Hain. ð",0,1,O,L,23,5
"@TusharKant_Naik Unhone jo report publish kiya tha usme likha tha ki may be Corona Virus India m aane vale meat&amp; products ki vahaj se ho... kyoki China India se meat import krta h !! 
Unhone tho ye bhi bola h ki ye ho skta h Wild Animals se nikla ho..",0,0,0,0,50,4
"@BarkhaS37691560 @sambitswaraj @aajtak @ZeeNews
Modi ek superhero hai inke lie jiske uppar Tank ke golo ka corona virus ka assar nai hota, yeh hava mein ud sakta hai and apne haath se plane, train, building, mountain utha sakta h. MODI insaan nai avtaar h",0,0,0,0,44,5
"Donald J.Trump: Desh Bhakti ka jajba jitna aap ke ander ha utna kisi anya opposition political me nahe ha, jinone corona virus ko seedha China virus bolker use dunea me virus felane ka jimmedar thera deya! Mr.Joe sab jante hue, ak word bhe China ke khelafat me nahe bole?",1,0,0,0,49,5
"China walo ne sab saman local bheja 
lekin saalo ne corona virus 
orginal bhej diya ð",1,1,O,L,16,4
